time,wave_elevation
0.4,-0.805473
0.5,-0.887687
0.6,-0.932218
0.7,-0.935635
0.8,-0.899018
0.9,-0.82732
1.0,-0.728324
1.1,-0.611415
1.2,-0.486333
1.3,-0.362091
1.4,-0.246171
1.5,-0.144058
1.6,-0.0590967
1.7,0.00738248
1.8,0.0557614
1.9,0.0877658
2.0,0.106119
2.1,0.114276
2.2,0.116268
2.3,0.11662
2.4,0.120299
2.5,0.132611
2.6,0.15899
2.7,0.204619
2.8,0.273885
2.9,0.369718
3.0,0.492881
3.1,0.641348
3.2,0.8099
3.3,0.990053
3.4,1.17042
3.5,1.33749
3.6,1.47689
3.7,1.57485
3.8,1.61983
3.9,1.60409
4.0,1.52488
4.1,1.38515
4.2,1.19364
4.3,0.964253
4.4,0.714747
4.5,0.464952
4.6,0.234651
4.7,0.0414381
4.8,-0.101204
4.9,-0.185316
5.0,-0.209203
5.1,-0.177395
5.2,-0.0998432
5.3,0.00954369
5.4,0.134796
5.5,0.259963
5.6,0.371082
5.7,0.457758
5.8,0.514162
5.9,0.539325
6.0,0.536708
6.1,0.513153
6.2,0.477399
6.3,0.438399
6.4,0.40373
6.5,0.37831
6.6,0.363656
6.7,0.357748
6.8,0.355538
6.9,0.34998
7.0,0.333431
7.1,0.299159
7.2,0.242723
7.3,0.162991
7.4,0.0626263
7.5,-0.0520499
7.6,-0.171803
7.7,-0.285733
7.8,-0.38284
7.9,-0.453675
8.0,-0.491817
8.1,-0.494967
8.2,-0.465481
8.3,-0.41027
8.4,-0.340061
8.5,-0.268151
8.6,-0.208795
8.7,-0.175481
8.8,-0.179317
8.9,-0.227747
9.0,-0.323757
9.1,-0.46566
9.2,-0.647453
9.3,-0.859687
9.4,-1.09067
9.5,-1.32784
9.6,-1.55913
9.7,-1.77405
9.8,-1.96448
9.9,-2.12499
10.0,-2.2528
10.1,-2.34729
10.2,-2.40934
10.3,-2.44057
10.4,-2.44257
10.5,-2.41644
10.6,-2.36248
10.7,-2.28025
10.8,-2.16893
10.9,-2.02783
11.0,-1.85698
11.1,-1.65776
11.2,-1.43324
11.3,-1.18836
11.4,-0.929705
11.5,-0.665041
11.6,-0.402573
11.7,-0.150037
11.8,0.0861837
11.9,0.301841
12.0,0.495364
12.1,0.668025
12.2,0.823755
12.3,0.968561
12.4,1.10965
12.5,1.25435
12.6,1.40899
12.7,1.57783
12.8,1.76224
12.9,1.96025
13.0,2.16642
13.1,2.37218
13.2,2.5665
13.3,2.73688
13.4,2.87054
13.5,2.95557
13.6,2.98211
13.7,2.94327
13.8,2.83581
13.9,2.66047
14.0,2.42196
14.1,2.1287
14.2,1.79217
14.3,1.42615
14.4,1.04586
14.5,0.666954
14.6,0.304658
14.7,-0.0270668
14.8,-0.316208
14.9,-0.553199
15.0,-0.731275
15.1,-0.846607
15.2,-0.898286
15.3,-0.888149
15.4,-0.820457
15.5,-0.701495
15.6,-0.539076
15.7,-0.34203
15.8,-0.119695
15.9,0.118548
16.0,0.363671
16.1,0.6073
16.2,0.841876
16.3,1.06074
16.4,1.2581
16.5,1.42895
16.6,1.56891
16.7,1.67415
16.8,1.74129
16.9,1.76744
17.0,1.75028
17.1,1.68827
17.2,1.5809
17.3,1.42892
17.4,1.23466
17.5,1.00206
17.6,0.736769
17.7,0.4459
17.8,0.137699
17.9,-0.178985
18.0,-0.495344
18.1,-0.803268
18.2,-1.09599
18.3,-1.36857
18.4,-1.61822
18.5,-1.84427
18.6,-2.04799
18.7,-2.23206
18.8,-2.3999
18.9,-2.5549
19.0,-2.6997
19.1,-2.8355
19.2,-2.96173
19.3,-3.07591
19.4,-3.17386
19.5,-3.25019
19.6,-3.29905
19.7,-3.31489
19.8,-3.29333
19.9,-3.23177
20.0,-3.12988
20.1,-2.98966
20.2,-2.81521
20.3,-2.61224
20.4,-2.38726
20.5,-2.14676
20.6,-1.8964
20.7,-1.64031
